V1
VEHICLE
VEHICLE NO.  VEHICLENAME.   REGISTRATION.    CAPACITY.   IDTYPEVEHICLE
0         CD001          03611-714-06       32           11
1         CF058          01192-214-06       15           10
2         CC043          01622-212-06       26           10
3         CC040          03562-210-06       10           10
4         CC028          01700-209-06       21           10
5         TR247          07414-516-06       26           1
6         TR246          07415-516-06       26           1
7         TR245          07412-516-06       26           1
8         TR244          07413-516-06       26           1
9         TR243          07419-516-06       26           1
10        TR259          06641-517-06       21           7
